Localidad;Temperatura;ppm;Peso_bollante;Volumen cm;Largo;Ancho ;Alto;Peso_total;Margen_crecimiento;Peso_seco_concha;Pseco_mb;Peso_libre_ceniza;r3;pendiente;extensi¢n_max;carga_max;ph Promedio (25øC);Salinidad;Temperatura ;Alcalinidad_total (æmol kg-1);pCO2 (æatm);?calcita;?aragonita
Quintay;15øC;500ppm;0.0106;-1.217.444.819;0.480;1.130;-0.260;0.076;0.422;0.143;0.0086;0.0016;0.992;390;0.18093;63;80.455;31.825;15.8;1.931.834.259;1.662.580.977;2.993.171.672;1.868.282.312
Quintay;10øC;500ppm;-0.001;-0.207509873;0.070;0.520;-0.330;0.035;0.548;0.288;0.0098;0.002;0.9664;325;0.20406;68;799.475;32.425;10.75;2.282.585.588;2.773.394.006;277.785.532;1.736.532.829
Quintay;10øC;500ppm;0.0012;3.706.244.238;-0.010;-0.270;-0.220;0.126;0.468;0.544;0;0;1;494;0;7.057.807;8.018.375;32.8;10.5;2.400.913.065;2.761.856.477;306.737.586;1.919.238.755
Quintay;10øC;500ppm;0.0152;-7.895.098.103;-0.550;0.210;0.710;0.215;0.562;0.459;0.0049;0.0012;0.8181;265;0.42469;114;8.018.375;32.8;10.5;2.390.886.986;2.750.205.135;3.054.040.667;1.910.895.004
Quintay;15øC;1500ppm;0.0379;-5.286.915.507;-0.430;0.160;0.390;0.138;0.466;0.372;0.0217;0.0041;0.9721;569;0.20297;110;770.775;32.2;15.3;1.888.990.896;4.089.829.015;1.421.236.802;0.887967852
Quintay;10øC;1500ppm;0.01;-1.556.211.716;-0.430;0.590;-0.270;0.109;0.324;0.168;0;0;1;433;0;45;7.644;32.925;10.9;2.282.682.961;6.846.371.818;1.314.108.192;0.822466692
Quintay;15øC;1500ppm;0.0111;-4.192.928.915;0.230;0.450;0.410;0.120;0.688;0.438;0.0167;0.0016;0.983;363;0.24203;90;7.840.125;31.625;16;2.136.018.581;3.184.367.791;2.184.942.486;1.363.072.499
Quintay;10øC;500ppm;0.0125;-307.230.654;0.330;0.080;0.570;0.057;0.470;0.363;0.0192;0.0045;0.9389;558;0.14016;72;80.905;31.75;10.8;230.964.649;2.179.546.659;338.230.452;2.110.752.232
Quintay;10øC;1500ppm;0.0223;-7.098.899.356;-0.400;0.390;0.460;0.197;0.636;0.512;0;0;1;669;0.19219;125;7.644.875;32.7;10.8;228.069.447;6.859.616.945;130.573.925;0.816801918
Quintay;10øC;1500ppm;0.0301;-2.509.580.777;-0.480;1.110;-0.470;0.069;0.446;0.217;0.0108;0.0011;0.911;275;0.4175;121;765.275;32.975;10.8;2.286.169.785;6.727.217.027;1.339.477.404;0.838440122
Quintay;15øC;1500ppm;0.0167;-8.617.529.877;0.060;1.250;0.610;0.066;0.366;0.224;0.0189;0.0035;0.7807;231;0.1286;32;773.025;32.35;15.4;2.021.101.059;4.104.828.725;1.612.205.755;1.007.659.412
Quintay;15øC;1500ppm;0.0194;-1.249.219.275;0.130;1.050;-0.260;0.079;0.358;0.115;0;0;1;440;0.06953;2.890.177;774.225;32.85;15.5;2.305.865.588;4.505.741.568;1.920.895.309;1.202.032.034
Quintay;10øC;500ppm;0.0282;-5.955.141.796;0.000;0.440;0.750;0.103;0.332;0.239;0;0;1;150;0;11;80.905;31.75;10.8;2.377.678.283;2.244.554.512;3.486.575.124;2.175.823.076
Quintay;10øC;500ppm;0.0261;-7.433.992.704;-0.520;0.180;0.520;0.163;0.702;0.656;0;0;1;369;0;47;80.535;32.525;11;2.368.609.249;2.433.554.079;328.546.813;2.054.358.274
Quintay;15øC;1500ppm;0.0158;-3.452.350.621;-0.100;0.200;0.440;0.157;0.506;0.265;0.0119;0.0024;0.9945;607;0.11453;61;773.575;31.95;15.3;-1.619.594.178;-3.253.141.184;-1.353.849.449;-8.453.243.719
Quintay;15øC;1500ppm;0.041;12.257.304;0.070;-0.530;0.000;0.041;0.356;0.097;0;0;1;428;0.14375;55;774.225;32.85;15.5;2.314.494.556;452.264.378;1.928.318.278;120.667.708
Quintay;10øC;500ppm;0.0189;-1.228.654.201;0.520;0.320;0.180;0.063;0.656;0.478;0;0;1;209;0;35;7.982.125;32.95;10.4;1.931.399.445;2.447.545.975;226.752.194;1.419.264.925
