localidad;temperatura;ppm;pb_final-inicial;vol_f-i;largo_f-i;ancho_f-i;alto_f-i;pt_f-i;mdc_f;peso_seco_de_la_concha;volumen_cm;pseco_mb;p_ldc;r2;pendiente;extension_max;carga_max;ph_promedio_25C;salinidad;temperatura ;alcalinidad_total ;pCO2;calcita;aragonita;pendiente;R2;ml/g_l_h_14C;mgo2_h_g_1;lat/min;modulo_elastico;estres_max;presion_Max;r2;a;b;c;d;e;f;g
Quintay;10°C;1500ppm;-0.002;161.736;0.09;-0.04;-0.11;0.183;0.598;0.606;1.617;0.03;0.006;0.867;266.96;0.3;84.547;7.644.875;32.7;10.8;2.268.420.644;6.822.451.393;1.298.581.504;0.812324408;na;na;na;na;20.28;301.877;63.904;0.219;0.997;1.846.431;1787.23;1.677.062;1.730.832;1.632.042;1.485.222;1.529.972
Quintay;10°C;500ppm;0.039;-374.017;0.29;0.25;0.52;0.068;0.422;0.335;-3.74;0.022;0.004;0.987;298.34;0.154;44.051;800.975;33.275;10.6;1.998.606.805;2.329.325.713;2.515.312.539;1.575.498.759;na;na;na;na;27.888;187.935;38.598;0.206;0.97;1338.44;1362.15;1.619.512;1.710.369;1.703.629;1.651.112;1.632.042
Quintay;15°C;500ppm;0.019;-778.91;-0.2;0.82;0.59;0.092;0.554;0.316;-7.789;0.019;0.004;0.975;281.84;0.616;188.506;80.455;31.825;15.8;1.900.222.425;1.635.063.926;2.941.126.283;1.835.796.544;0.025;0.911;0.012;0.058;32.784;221.372;15.237;0.071;0.932;1.816.469;1.582.776;1.564.875;1.690.267;1.772.875;1.677.062;1.479.766
Quintay;10°C;500ppm;-0.002;-455.982;-0.13;0.45;0.5;0.106;0.342;0.182;-4.56;0.011;0.002;0.87;331.67;0.114;38.073;800.975;33.275;10.6;200.504.802;2.336.940.201;2.523.809.446;1.580.820.907;na;na;na;na;22.128;289.292;377.607;1.342;0.982;1421.69;1.529.972;1.632.042;1.940.902;1.730.832;1.670.517;1.485.222
Quintay;15°C;1500ppm;0.027;-453.716;-0.12;0.41;0.4;0.105;0.352;0.27;-4.537;0.019;0.004;0.87;337.58;0.168;60.738;77.175;32.425;15.1;2.288.255.155;4.861.140.403;1.766.385.524;1.104.228.297;na;na;na;na;28.656;249.307;59.863;0.248;0.97;1.884.937;2.016.597;2.459.042;2.424.449;2.482.518;1877.14;2.152.969
Quintay;15°C;1500ppm;0.011;-15.593;0.45;0.57;-0.18;0.051;0.4;0.104;-0.156;0.008;0.001;na;na;na;na;773.575;31.95;15.3;2.308.247.401;4.653.445.189;185.227.128;1.156.531.885;na;na;na;na;23.496;na;na;na;na;na;na;na;na;na;na;na
Quintay;15°C;500ppm;0.023;-131.26;-0.54;0.2;-0.08;0.109;0.358;0.16;-1.313;0.012;0.003;0.994;134.37;0.144;18.662;805.625;32.85;15.4;2.082.967.604;1.755.766.941;3.322.750.831;207.926.633;0.018;0.947;0.008;0.081;29.94;256.409;320.728;1.279;0.992;1.535.707;1.564.875;1.765.762;1.644.718;1.452.935;1.386.495;1.670.517
Quintay;10°C;1500ppm;0.001;-63.682;-0.04;-0.2;0.25;0.13;0.63;0.55;-0.637;0.023;0.004;0.997;856.96;0.311;252.943;765.275;32.975;10.8;2.287.169.168;673.017.762;1.340.074.243;0.838813711;0.008;0.809;0.004;0.011;35.58;587.027;183.202;0.32;0.969;1.092.908;1.150.325;1.343.132;1196.41;1.474.341;1421.69;1.613.301
Quintay;15°C;1500ppm;0.019;177.682;0.01;0;-0.69;0.036;na;na;1.777;na;na;na;na;na;na;770.775;32.2;15.3;1.916.529.263;4.149.753.435;144.265.605;0.901350283;0.009;0.857;0.004;0.063;12.252;na;na;na;na;na;na;na;na;na;na;na
Quintay;10°C;1500ppm;0.108;933.285;2.03;-1.9;1.06;0.227;0.45;0.356;9.333;0.024;0.005;0.982;287.19;0.179;47.381;7.651;32.575;10.6;1.983.423.193;591.424.838;113.813.882;0.711748265;0.009;0.815;0.004;0.018;18.3;90.746;6.774;0.07;0.979;1.657.543;1.651.112;1.809.092;1.613.301;1.982.418;1.884.937;1.737.735
